ID,Title,Location,Salary,Summary
job_a692f83229bd339f,Datacenter Engineer,서울,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
job_b6f149c5d6b60323,"Analyst - Environmental, Social and Governance (12 months co...",서울,"ESG) Experience and training in data analytics tools like Python, Alteryx, Tableau, Excel or other analytical platforms..."
job_9c6585f9306d65ff,[NAVER Cloud] MLOps 서비스 개발,서울,"위한 플랫폼 개발 - MLOps 서비스 모니터링, 배포, 운영 [필요역량] - 관련 경력 3년이상 - Python 또는 Spring 환경에 대한 이해 및 이를 활용한 서비스 개발 경험 - 비동기 프로그래밍 등 고성능 어플리..."
job_91bddba7f7620d51,"[대형증권사] LP/MM 시스템 개발 및 운영,유지보수",서울 강남구,레이딩 시스템에 대한 이해 및 열정 보유 <우대사항>C++/JAVA/ Python 프로그래밍 가능 0 명 근무조건 고용형태: 정규직급여조건: 연봉 협의... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임...
job_58a835a5987073cf,고객기획 경력 모집,서울 회현동,"분석 관련 전공이신 분 - 자동화 마케팅 구축 및 솔루션 활용 경력을 보유하신 분 - 데이터 분석 툴(R, Python 등) 활용 가능 경혐을 보유하신 분 0명 솔루션운영 [주요 업무내용] 1. 팀 내 마케팅 솔루션..."
job_705f1a36a7fafed3,은행 정보계 DW 시스템 담당자,서울 중학동,MySQL 등) 대용량 쿼리 개발/튜닝 경험을 보유하신 분 - SW 개발 능력을 보유하신 분(Java/ Python 등) 우대사항 - 은행 정보계 시스템(DW/규제/회계/리스크) 운영 경험을 보유하신 분 - 시각화/분석...
job_dff3f8e5936d5b70,[반도체IP 전문기업] Video Codec HW 개발자,서울 강남구,video codec • Python/Perl 사용 가능자... image signal processing- video codec • Python/Perl 사용 가능자• SystemVerilog를 사용한 test...
job_d193999bb6d038d4,Analog Design Engineer,서울,"Modeling of solutions using tools... Python, Matlab, Simulink, and Spectre AMS... tools... Python, Matlab, Simulink..."
job_87985ee884920551,Business Analyst,서울,"engineering related research. • Broad working knowledge of Python, Excel (inc. automation skills), Relational DBs, SQL..."
job_1c148ec8d2c892a3,[어니컴(주)] 테스트 자동화 전문가 경력자,서울 강남구,그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드...
job_406d95c405404a76,"[Robotics] Robotics Software Engineer, Robot System",서울,서비스 로봇 개발 및 실제 서비스 운영 경험 ㅇ Scratch 부터 로봇 시스템 개발을 해 본 경험 ㅇ Python/Lua 등의 script 언어 활용 능력 및 C++ binding해서 활용가능한 분 • 채용하고 싶은 사람...
job_a5d866cb3092e1f6,빅데이터 플랫폼 데이터 엔지니어,서울 마곡역,"험자 - S/W 관련 자격증 보유자 - AWS (Redshift, S3 등) 기반 시스템 구축 경험자 - Python, SAS 스킬 보유자 - DB영역 기술 전문성 보유자 - IT 전반에 대한 이해도와 경험 보유자 필수 지원..."
